Sport,Participants
aquatics,1397
archery,128
athletics,2287
badminton,172
basketball,264
boxing,284
canoe,321
cycling,520
equestrian,222
fencing,239
football,611
golf,120
gymnastics,319
handball,333
hockey,432
judo,381
modern pentathlon,72
rowing,524
rugby sevens,300
sailing,378
shooting,373
table tennis,166
taekwondo,126
tennis,183
triathlon,110
volleyball,372
weightlifting,252
wrestling,345
